v-sweep;I(MQ1:d);V(/Vg);
0;5,015e-12;0;
0,1;5,01519e-12;0,1;
0,2;5,01519e-12;0,2;
0,3;5,015e-12;0,3;
0,4;5,015e-12;0,4;
0,5;5,015e-12;0,5;
0,6;5,015e-12;0,6;
0,7;5,015e-12;0,7;
0,8;5,015e-12;0,8;
0,9;5,015e-12;0,9;
1;5,015e-12;1;
1,1;5,015e-12;1,1;
1,2;5,01501e-12;1,2;
1,3;5,01507e-12;1,3;
1,4;5,01551e-12;1,4;
1,5;5,0188e-12;1,5;
1,6;5,04307e-12;1,6;
1,7;5,22243e-12;1,7;
1,8;8,79011e-12;1,8;
1,9;3,29092e-11;1,9;
2;2,11121e-10;2;
2,1;1,52783e-09;2,1;
2,2;1,12548e-08;2,2;
2,3;8,30821e-08;2,3;
2,4;6,12907e-07;2,4;
2,5;4,5096e-06;2,5;
2,6;3,2942e-05;2,6;
2,7;0,000236073;2,7;
2,8;0,00161107;2,8;
2,9;0,00981329;2,9;
3;0,0480453;3;
3,1;0,172466;3,1;
3,2;0,452382;3,2;
3,3;0,929388;3,3;
3,4;1,61455;3,4;
3,5;2,50672;3,5;
3,6;3,60297;3,6;
3,7;4,90128;3,7;
3,8;6,40054;3,8;
3,9;8,10022;3,9;
4;10,0001;4;
4,1;12,1;4,1;
4,2;14,4;4,2;
4,3;16,9;4,3;
4,4;19,6;4,4;
4,5;22,5;4,5;
4,6;25,6;4,6;
4,7;28,9;4,7;
4,8;32,4;4,8;
4,9;36,1;4,9;
5;40;5;
